Netzwerkforschung Sprecher,Quelle_Inst,function,activity,Zeitraum,Institution,spezifische Institution,SOFISwiki_Inst,SOFISwiki_instID
"Petermann, Sören",Uni Bochum,Professor ,Soziologie / Stadt und Region,2016-,Ruhr-Universität Bochum,Soziologie / Stadt und Region,"Sektion Soziologie Lehrstuhl für Soziologie - Stadt und Region, Familie
Fak. für Sozialwissenschaft (Bochum)
Ruhr-Universität Bochum (Bochum)",18179
"Gamper, Markus",Uni Köln,Studium,n,1997-1998,"Universität Tübingen

",n,Eberhard Karls Universität Tübingen (Tübingen),3349
"Gamper, Markus",Uni Köln,Studium der Soziologie und der Pädagogik,M.A. Soziologie und Dipl. Pädagogik,1998-2005,Universität Trier,n,Universität Trier (Trier),3348
"Gamper, Markus",Uni Köln,Promotion ,n,"2005-2009
",n,n,n,n
"Gamper, Markus",Uni Köln,Habilitation ,zusammengestellt und wird eingereicht,2015,n,n,n,n
"Gamper, Markus",Uni Köln,Wissenschaftliche Hilfskraft,n,"2001-2004",Universität Trier,n,Universität Trier (Trier),3348
"Gamper, Markus",Uni Köln,Mitarbeiter ,n,2004/12-2005/11," „Arbeitsgemeinschaft sozialwissenschaftliche Forschung und Weiterbildung"" (ASW)",n,n,n
"Gamper, Markus",Uni Köln,Berater ,Bereich freiwillige Rückkehr von Migranten,2007/11-2010/01," Regierungspräsidium Karlsruhe, Baden-Württemberg",n,n,n
"Gamper, Markus",Uni Köln,Mitglied und Berater, städtischer Lenkungsausschuss ,"2008-2012
",Stadt Trier,"„Integrationskonzept für die Stadt Trier""",n,n
"Gamper, Markus",Uni Köln,Berater ,"Projekt „Campus International""","2009-2010
",Universität Trier,"Projekt „Campus International"" des Akademischen Auslandsamts",Universität Trier (Trier),3348
"Gamper, Markus",Uni Köln,Berater ,"Projekt „Brücken guter Nachbarschaft""","2009-2011",AWO-Heimatgarten,"Projekt „Brücken guter Nachbarschaft""",n,n
"Gamper, Markus",Uni Köln,Vorstandsmitglied und Postdoktorand,"Exzellenzcluster „Gesellschaftliche Abhängigkeiten und soziale Netzwerke""","2005-2012
",Universität Trier,"Exzellenzcluster „Gesellschaftliche Abhängigkeiten und soziale Netzwerke""",Universität Trier (Trier),3348
"Gamper, Markus",Uni Köln,Akademischer Rat,Bereich Kultur- und Erziehungssoziologie,2012-,Universität Köln,Bereich Kultur- und Erziehungssoziologie,"Institut II für vergleichende Bildungsforschung und Sozialwissenschaften Professur für Erziehungs- und Kultursoziologie
Humanwissenschaftliche Fakultät (Köln)
Universität zu Köln (Köln)",28080
"Gamper, Markus",Uni Köln,Vorstandsmitglied,"Exzellenzcluster „Global South Studies Center Cologne (GSSC)""",,Universität Köln,"Exzellenzcluster „Global South Studies Center Cologne (GSSC)""",Universität zu Köln (Köln),3327
"Keim, Sylvia",Uni Rostock,Studium,Diplom in Soziologie,2003,Technische Universität Darmstadt,n,Technische Universität Darmstadt (Darmstadt),3190
"Keim, Sylvia",Uni Rostock,n,n,2003 - 2004,"International Max-Planck-Research-School for Demography, Rostock",n,Max-Planck-Institut für demografische Forschung (Rostock),19885
"Keim, Sylvia",Uni Rostock,Doktorandin ,n,2004 - 2009,Max-Planck-Institut für demografische Forschung (Rostock),n,Max-Planck-Institut für demografische Forschung (Rostock),19885
"Keim, Sylvia",Uni Rostock,Doktorandin ,n,2004 - 2009,Universität Rostock,n,Universität Rostock (Rostock),12187
"Keim, Sylvia",Uni Rostock,Wissenschaftliche Assistentin,n,2008-,Universität Rostock,"Lehrstuhl für Allgemeine Soziologie und Makrosoziologie, Institut für Soziologie und Demographie","Institut für Soziologie und Demographie Lehrstuhl für Allgemeine Soziologie, Makrosoziologie
Wirtschafts- und Sozialwissenschaftliche Fakultät (Rostock)
Universität Rostock (Rostock)",20210
"Keim, Sylvia",Uni Rostock,Promotion,n,2010,Max-Planck-Institut für demografische Forschung (Rostock),n,Max-Planck-Institut für demografische Forschung (Rostock),19885
"Keim, Sylvia",Uni Rostock,Promotion,n,2010,Universität Rostock,,Universität Rostock (Rostock),12187
"Keim, Sylvia",Uni Rostock,Vorstand der Sektion Soziologische Netzwerkforschung,n,2014-,Deutsche Gesellschaft für Soziologie, Sektion Soziologische Netzwerkforschung,Deutsche Gesellschaft für Soziologie -DGS- (Essen),9611
"Ellwardt, Lea",Uni Köln,Studium,Diplom-Soziologin,2006,"Dresden University of Technology, Germany",n,Technische Universität Dresden (Dresden),12262
"Ellwardt, Lea",Uni Köln,Pre-doctoral Researcher,n,2006-2010,"University of Groningen, The Netherlands",n,University of Groningen (Groningen),12681
"Ellwardt, Lea",Uni Köln,PhD,Sociology ,2011,"University of Groningen, The Netherlands",n,University of Groningen (Groningen),12681
"Ellwardt, Lea",Uni Köln,Post-doctoral Researcher,n,2010-2014,"University of Groningen, The Netherlands",n,University of Groningen (Groningen),12681
"Ellwardt, Lea",Uni Köln,Assistant Professor (W1),n,2014-,"University of Cologne, Germany",n,Universität zu Köln (Köln),3327
,,,,,,,,
Methoden QS Sprecher,,,,,,,,
"Scheffer, Thomas",http://www.fb03.uni-frankfurt.de/43946558/vita,Studium,Sociology ,1990 – 1995, Bielefeld University (Germany),Sociology ,"Fak. für Soziologie
Universität Bielefeld (Bielefeld)",8592
"Scheffer, Thomas",http://www.fb03.uni-frankfurt.de/43946558/vita,Dissertation ,n,1995,Bielefeld University, Department for Sociology,"Fak. für Soziologie
Universität Bielefeld (Bielefeld)",8592
"Scheffer, Thomas",http://www.fb03.uni-frankfurt.de/43946558/vita,PhD Project,""" the Asylum Seeking Process in Germany""","1995 – 1998",n,n,n,n
"Scheffer, Thomas",http://www.fb03.uni-frankfurt.de/43946558/vita,Doctoral Thesis,n,1998,Bielefeld University,Department for Sociology,"Fak. für Soziologie
Universität Bielefeld (Bielefeld)",8592
"Scheffer, Thomas",http://www.fb03.uni-frankfurt.de/43946558/vita,Applied Sociology,Off-the-job-training: “Migration und ihre Auswirkungen“ for Police Officers,1998,"Polizeifortbildungsinstitut Carl Severing, Münster (PFI)",n,n,n
"Scheffer, Thomas",http://www.fb03.uni-frankfurt.de/43946558/vita,Applied Sociology,Ethnographic Evaluation of the Reorganisation Project “Umbau der Hilfen zur Erziehung“,"1999 – 2000",Municipality of Stuttgart,Youth Welfare Office,Landeshauptstadt Stuttgart Jugendamt (Stuttgart),583
"Scheffer, Thomas",http://www.fb03.uni-frankfurt.de/43946558/vita,Research Associate,n,1.01 – 12.02,University of Lancaster,"Department for Sociology, Centre for Science Studies (UK)",,
"Scheffer, Thomas",http://www.fb03.uni-frankfurt.de/43946558/vita,Research Director ,n,2.03 – 6.09,FU Berlin,"Emmy-Noether Group
 „Comparative Micro-Sociology of Criminal Procedures“
at the Collaborative Research Unit „Performative Cultures“ (SFB 447) ",Freie Universität Berlin (Berlin),1255
"Scheffer, Thomas",http://www.fb03.uni-frankfurt.de/43946558/vita,Fellow ,n,"[10.08 - 2.09]",Bielefeld University,"Centre for Interdisciplinary Research (ZiF); Research Group: ""Case as Focus of Professional Action""","Zentrum für interdisziplinäre Forschung -ZiF- – ZiF
Universität Bielefeld (Bielefeld)",4808
"Scheffer, Thomas",http://www.fb03.uni-frankfurt.de/43946558/vita,Senior Research Fellow,n,"7.09 – 12.10",Humboldt University Berlin,Institute for European Ethnology (IfEE); Heisenberg Scholarship/DFG,Humboldt-Universität Berlin (Berlin),12708
"Scheffer, Thomas",http://www.fb03.uni-frankfurt.de/43946558/vita,Senior Research Fellow,n,1.11-10.11, Humboldt University Berlin,Institute for Social Science (ISW); Heisenberg Scholarship/DFG,Humboldt-Universität Berlin (Berlin),12708
"Scheffer, Thomas",http://www.fb03.uni-frankfurt.de/43946558/vita,Visiting professor (W3-Vertretungsprofessur), „Sociology and Migration Studies“ (“Allgemeine Soziologie und Interdisziplinäre Migrationsforschung”),"10.11-4.12
",University of Osnabrück,Department for Social Sciences,"FB 01 Sozialwissenschaften
Universität Osnabrück (Osnabrück)",8584
"Scheffer, Thomas",http://www.fb03.uni-frankfurt.de/43946558/vita,Guest Professor,Sociology,4.12.-10.12, RUB,Sociology,"RUB Research School
Ruhr-Universität Bochum (Bochum)",340
"Scheffer, Thomas",http://www.fb03.uni-frankfurt.de/43946558/vita,Full Professor ," ""Sociology with an emphasis on Interpretative Social Research"" (W3)","10.12.-",Goethe-University Frankfurt a. M. ,n,Goethe-Universität Frankfurt (Frankfurt am Main),3313
"Unger, Hella von",http://www.qualitative-sozialforschung.soziologie.uni-muenchen.de/personen/professorin/unger/biographie.html,Diplom-Vorprüfung,Sozialwissenschaften,1992,"Universität Hannover
",n,Gottfried Wilhelm Leibniz Universität Hannover (Hannover),3323
"Unger, Hella von",http://www.qualitative-sozialforschung.soziologie.uni-muenchen.de/personen/professorin/unger/biographie.html,Summer Session," Ethnic Minority Studies, Art History",1993,"U.C. Berkeley (USA)
",n,University of California Berkeley (Berkeley),3269
"Unger, Hella von",http://www.qualitative-sozialforschung.soziologie.uni-muenchen.de/personen/professorin/unger/biographie.html,Diplom ,Sozialwissenschaften,1998,"Universität Hannover
",n,Gottfried Wilhelm Leibniz Universität Hannover (Hannover),3323
"Unger, Hella von",http://www.qualitative-sozialforschung.soziologie.uni-muenchen.de/personen/professorin/unger/biographie.html,Promotion,Dr. phil.  ,2005,"Universität Hannover
",n,Gottfried Wilhelm Leibniz Universität Hannover (Hannover),3323
"Unger, Hella von",http://www.qualitative-sozialforschung.soziologie.uni-muenchen.de/personen/professorin/unger/biographie.html,Wissenschaftliche Mitarbeiterin,n,2000 - 2004,"Columbia University, New York (USA)
",Department of Psychiatry,Columbia University New York (New York),659
"Unger, Hella von",http://www.qualitative-sozialforschung.soziologie.uni-muenchen.de/personen/professorin/unger/biographie.html,Wissenschaftliche Mitarbeiterin,n,2005 - 2006,"Otto-von-Guericke Universität Magdeburg
",Institut für Allgemeinmedizin,"Medizinische Fakultät
Otto-von-Guericke-Universität Magdeburg (Magdeburg)",16281
"Unger, Hella von",http://www.qualitative-sozialforschung.soziologie.uni-muenchen.de/personen/professorin/unger/biographie.html,Dozentin und Lehrbeauftragte,Qualitative Forschungsmethoden,2005 - 2012        ,Alice Salomon Hochschule Berlin,n,Alice Salomon Hochschule Berlin (Berlin),1065
"Unger, Hella von",http://www.qualitative-sozialforschung.soziologie.uni-muenchen.de/personen/professorin/unger/biographie.html,Dozentin und Lehrbeauftragte,Qualitative Forschungsmethoden,2005 - 2012        ,Charité Universitätsmedizin Berlin,n,Charité - Universitätsmedizin Berlin (Berlin),16351
"Unger, Hella von",http://www.qualitative-sozialforschung.soziologie.uni-muenchen.de/personen/professorin/unger/biographie.html,Dozentin und Lehrbeauftragte,Qualitative Forschungsmethoden,2005 - 2012        ,Leuphana Universität Lüneburg,n,Leuphana Universität Lüneburg (Lüneburg),1535
"Unger, Hella von",http://www.qualitative-sozialforschung.soziologie.uni-muenchen.de/personen/professorin/unger/biographie.html,Wissenschaftlerin ,in der Forschungsgruppe Public Health (2006-2012) und der Forschungsgruppe Wissenschaftspolitik (2012-2013,2006 - 2013	,"Wissenschaftszentrum Berlin für Sozialforschung
(WZB)",n,Wissenschaftszentrum Berlin für Sozialforschung gGmbH (Berlin),8779
"Unger, Hella von",http://www.qualitative-sozialforschung.soziologie.uni-muenchen.de/personen/professorin/unger/biographie.html,Professorin ,Soziologie mit dem Schwerpunkt Qualitative Methoden der empirischen Sozialforschung,2013-,Ludwig-Maximilians-Universität München (LMU),"Institut für Soziologie
","Institut für Soziologie
Sozialwissenschaftliche Fakultät (München)
Ludwig-Maximilians-Universität München (München)",8978
"Krähnke, Uwe",Uni Bielefeld,Studium,Sozialwissenschaften,,Humboldt-Universität zu Berlin,,Humboldt-Universität Berlin (Berlin),12708
"Krähnke, Uwe",Uni Leipzig,Wissenschaftlicher Mitarbeiter,"Allgemeine Soziologie, Kultursoziologie, Qualitative Methoden",1997-2010,Technische Universität Chemnitz,Institut für Soziologie Professur für Allgemeine Soziologie II (Chemnitz),Institut für Soziologie Professur für Allgemeine Soziologie II (Chemnitz),15214
"Krähnke, Uwe",Uni Leipzig,Promotion,,2004,Technische Universität Chemnitz,Institut für Soziologie Professur für Allgemeine Soziologie II (Chemnitz),Institut für Soziologie Professur für Allgemeine Soziologie II (Chemnitz),15214
"Krähnke, Uwe",Uni Leipzig,Lector,,2010-?,Kepler Universität Linz,,Johannes Kepler Universität Linz (Linz),9291
"Krähnke, Uwe",Uni Bielefeld,Lehrtätigkeit,,?,Humboldt-Universität zu Berlin,,Humboldt-Universität Berlin (Berlin),12708
"Krähnke, Uwe",Uni Leipzig,Vertretungsprofessur,,SS 2011,Alpen-Adria-Universität Klagenfurt,,Alpen-Adria-Universität Klagenfurt (Klagenfurt am Wörthersee),726696
"Krähnke, Uwe",Uni Leipzig,Wissenschaftlicher Mitarbeiter ,,2012-2015,Universität Leipzig,Institut für Kulturwissenschaften,Institut für Kulturwissenschaften (Leipzig),15064
"Krähnke, Uwe",Uni Bielefeld/Uni Leipzig,Leiter,"DFG-Projekt: ""Hauptamtliche Mitarbeiter der DDR-Staatssicherheit""",2012/06-2015/05,Deutsche Forschungsgemeinschaft Bonn,,Deutsche Forschungsgemeinschaft (Bonn),9494
"Krähnke, Uwe",Uni Bielefeld,Vorstand,"DGS-Sektion: ""Methoden der qualitativen Sozialforschung""",2014/09-?,Deutsche Gesellschaft für Soziologie,Sektion Methoden der qualitativen Sozialforschung ,Sektion Methoden der qualitativen Sozialforschung (Tübingen),70485
"Krähnke, Uwe",Uni Bielefeld,Lehrkraft,Lehrkraft für besondere Aufgaben im Bereich Methoden der empirischen Sozialforschung mit dem Schwerpunkt qualitative Methoden,?,Universität Bielefeld,Institut für Soziologie,Fak. für Soziologie Universität Bielefeld (Bielefeld),8592
Methoden QS Mitglieder,,,,,,,,
"Alber, Ina",Uni Goettingen,Magister-Studium," Magistra Artium (M.A.), Politikwissenschaft, Soziologie sowie Medien- und Kommunikationswissenschaft ",2001 - 2007,Georg-August-Universität Göttingen,n,Georg-August-Universität Göttingen (Göttingen),9292
"Alber, Ina",Uni Goettingen,Magister-Studium," Magistra Artium (M.A.), Politikwissenschaft, Soziologie sowie Medien- und Kommunikationswissenschaft ",2001 - 2007,Uniwersytet Mikolaja Kopernika Torun/Polen,n,n,n
"Alber, Ina",Uni Goettingen,Promotion ,Dr. disc. pol.,2008 - 2014,Georg-August-Universität Göttingen ,Soziologie ,"Institut für Soziologie
Sozialwissenschaftliche Fakultät (Göttingen)
Georg-August-Universität Göttingen (Göttingen)",8148
"Alber, Ina",Uni Goettingen,Europäischer Freiwilligendienst in Alingsås/Schweden,n,2000 - 2001,n,n,n,n
"Alber, Ina",Uni Goettingen,Wissenschaftliche Hilfskraft,n,2007 - 2009,Methodenzentrum Sozialwissenschaften,n,"Methodenzentrum Sozialwissenschaften – MZS
Sozialwissenschaftliche Fakultät (Göttingen)
Georg-August-Universität Göttingen (Göttingen)",21825
"Alber, Ina",Uni Goettingen,Lehrbeauftragte ,n,2007-,Universitäten in Deutschland und Polen,n,n,n
"Alber, Ina",Uni Goettingen,Stipendiatin ,n,2009 - 2012,Georg-August-Universität Göttingen,Dorothea-Schlözer-Programm,Georg-August-Universität Göttingen (Göttingen),9292
"Alber, Ina",Uni Goettingen,Wissenschaftliche Hilfskraft,n,2010 - 2012,Georg-August-Universität Göttingen,Dekanat der Sozialwissenschaftlichen Fakultät,"Sozialwissenschaftliche Fakultät
Georg-August-Universität Göttingen (Göttingen)",3964
"Alber, Ina",Uni Goettingen,Geschäftsführerin ,"Leibniz Graduate School ""Geschichte, Wissen, Medien in Ostmitteleuropa""",2012/09-2015/04,"Leibniz Graduate School ""Geschichte, Wissen, Medien in Ostmitteleuropa""",n,n,n
"Alber, Ina",Uni Goettingen,Wissenschaftliche Mitarbeiterin,n,2012/09-2015/04,Herder-Institut für historische Ostmitteleuropaforschung - Institut der Leibniz-Gemeinschaft in Marburg,n,Herder-Institut für historische Ostmitteleuropaforschung - Institut der Leibniz-Gemeinschaft (Marburg),1952
"Alber, Ina",Uni Goettingen,Wissenschaftliche Mitarbeiterin,Bereich qualitative Methodenberatung,2015/01-04,Georg-August-Universität Göttingen,"Methodenzentrum Sozialwissenschaften, Bereich qualitative Methodenberatung","Methodenzentrum Sozialwissenschaften – MZS
Sozialwissenschaftliche Fakultät (Göttingen)
Georg-August-Universität Göttingen (Göttingen)",21825
"Alber, Ina",Uni Goettingen,Wissenschaftliche Mitarbeiterin und Studiengangsbeauftragte,n,2015/05-,Georg-August-Universität Göttingen, Institut für Soziologie,"Institut für Soziologie
Sozialwissenschaftliche Fakultät (Göttingen)
Georg-August-Universität Göttingen (Göttingen)",8148
"Alkemeyer, Thomas",Uni Oldenburg,Studium,"Germanistik, Sportwissenschaft, Philosophie und Erziehungswissenschaft",?,FU Berlin,,Freie Universität Berlin (Berlin),1255
"Alkemeyer, Thomas",Uni Oldenburg,Wissenschaftlicher Mitarbeiter,"Forschungsprojekt ""Mythen, Rituale und Symbole der Olympischen Spiele 1936.""",1985-1987,FU Berlin,,Freie Universität Berlin (Berlin),1255
"Alkemeyer, Thomas",Uni Oldenburg,Lehrbeauftragter und Wissenschaftlicher Mitarbeiter ,,1987-1997,FU Berlin,Institut für Sportwissenschaft ,Institut für Sportwissenschaft (Berlin),28714
"Alkemeyer, Thomas",Uni Oldenburg,Promotion ,"Dissertation: Körper, Kult und Politik. Von der ""Muskelreligion"" Pierre de Voubertins zur Inszenierung von Macht in den Olympischen Spielen von 1936.",1996,FU Berlin,,Freie Universität Berlin (Berlin),1255
"Alkemeyer, Thomas",Uni Oldenburg,Wissenschaftlicher Assistent,,1997-1999,FU Berlin,Institut für Sportwissenschaft ,Institut für Sportwissenschaft (Berlin),28714
"Alkemeyer, Thomas",Uni Oldenburg,Vertretung der Professur,Sportsoziologie,1999-2000,Friedrich-Schiller-Universität Jena (Jena),Institut für Sportwissenschaft ,Institut für Sportwissenschaft (Jena),13943
"Alkemeyer, Thomas",Uni Oldenburg,Wissenschaftlicher Assistent,Philosophie,1999-2001,FU Berlin,Institut für Philosophie,FB Philosophie und Geisteswissenschaften (Berlin),21987
"Alkemeyer, Thomas",Uni Oldenburg,Leitender Mitarbeiter,"DFG-Sonderforschungsbereich ""Kulturen des Performativen"" im Unterprojekt ""Die Aufführung der Gesellschaft im Spiel""",1999-2001,FU Berlin,Institut für Philosophie,FB Philosophie und Geisteswissenschaften (Berlin),21987
"Alkemeyer, Thomas",Uni Oldenburg,Habilitation,"Thema: Zeichen, Körper und Bewegung. Die Aufführung der Gesellschaft im Spiel",2000,FU Berlin,Institut für Philosophie,FB Philosophie und Geisteswissenschaften (Berlin),21987
"Alkemeyer, Thomas",Uni Oldenburg,Professor,Sport und Gesellschaft,2001-2012,Carl von Ossietzky Universität Oldenburg (oldenburg),Fakultät für Human- und Gesellschaftswissenschaften,Fak. 04 Human- und Gesellschaftswissenschaften (Oldenburg),26494
"Alkemeyer, Thomas",Uni Oldenburg,Professeur invité ,,SoSe 2010,Université Denis Diderot - Paris 7,,n,n
"Alkemeyer, Thomas",Uni Oldenburg,W3-Professur,Soziologie und Sportsoziologie,2012-,Carl von Ossietzky Universität Oldenburg ,Fakultät für Human- und Gesellschaftswissenschaften,Fak. 04 Human- und Gesellschaftswissenschaften (Oldenburg),26494
"Alkemeyer, Thomas",Uni Oldenburg,Leiter des Arbeitsbereiches,Soziologie und Sportsoziologie,2012-,Carl von Ossietzky Universität Oldenburg ,Fakultät für Human- und Gesellschaftswissenschaften,Fak. 04 Human- und Gesellschaftswissenschaften (Oldenburg),26494
"Alkemeyer, Thomas",Uni Oldenburg,Direktor,Wissenschaftliches Zentrum Genealogie der Gegenwart,2013-,Carl von Ossietzky Universität Oldenburg ,,Carl von Ossietzky Universität Oldenburg (Oldenburg),3341
"Alkemeyer, Thomas",Uni Oldenburg,Vorstand,"Sektion ""Soziologie des Körpers und des Sports""",2016/10-,Deutsche Gesellschaft für Soziologie,Sektion Soziologie des Körpers und des Sports ,Sektion Soziologie des Körpers und des Sports (Mainz),70491
"Andresen, Sünne",http://www.htw-berlin.de/hochschule/personen/person/?eid=3583,Referatsleiterin,Frauenförderung und Gleichstellung,2017,Hochschule für Technik und Wirtschaft Berlin,n,Hochschule für Technik und Wirtschaft Berlin (Berlin),69365
"Angermüller/Angermuller, Johannes",Eigene Website: http://www.johannes-angermuller.net/deutsch/index.html,Studium,"Soziologie, Osteuropäische Geschichte und Amerikanistik",1992/11-1997/02,Friedrich-Alexander Universität Erlangen-Nürnberg,,Friedrich-Alexander-Universität Erlangen-Nürnberg (Erlangen),3309
"Angermüller/Angermuller, Johannes",Eigene Website: http://www.johannes-angermuller.net/deutsch/index.html,Magister Artium,"Magisterarbeit: Ethnizität, Biographie und sozialer Wandel in einer Transformationsgesellschaft. Eine empirische Studie zur armenischen Minderheit in Sankt Petersburg.",1997/02,Friedrich-Alexander Universität Erlangen-Nürnberg,,Friedrich-Alexander-Universität Erlangen-Nürnberg (Erlangen),3309
"Angermüller/Angermuller, Johannes",Eigene Website: http://www.johannes-angermuller.net/deutsch/index.html,Auslandsstudium,,1994/08-1995/05,Duke University,,Duke University Durham (Durham),26455
"Angermüller/Angermuller, Johannes",Eigene Website: http://www.johannes-angermuller.net/deutsch/index.html,Auslandsstudium,,1994/08-1995/05,Deutscher Akademischer Austauschdienst,,Deutscher Akademicher Austauschdienst (Bonn),797
"Angermüller/Angermuller, Johannes",Eigene Website: http://www.johannes-angermuller.net/deutsch/index.html,Auslandsstudium,,1995/08-1995/09,Universität St. Petersburg,,St. Petersburg State University (St. Petersburg),26299
"Angermüller/Angermuller, Johannes",Eigene Website: http://www.johannes-angermuller.net/deutsch/index.html,Auslandsstudium,,1996/02-1996/07,Université de Paris-IV  Sorbonne,,n,n
"Angermüller/Angermuller, Johannes",Eigene Website: http://www.johannes-angermuller.net/deutsch/index.html,Auslandsaufenthalt,,1997/09-1998/01,"University of Georgia, Athens",,n,n
"Angermüller/Angermuller, Johannes",Eigene Website: http://www.johannes-angermuller.net/deutsch/index.html,Auslandsaufenthalt,,1999/04-1999/08,Harvard University,,Harvard University Cambridge (Cambridge),1473
