,Quelle_Inst,function,activity,Zeitraum,Institution,spezifische Institution,SOFISwiki_Inst/Projekt,SOFISwiki_instID/Projekt-ID
"Habermas, Jürgen",Uni Graz Lexikon 50 Klassiker der Soziologie (http://agso.uni-graz.at/lexikon/klassiker/goffman/20li.htm),Direktor,,1971-1981,"Max-Planck-Institut zur Erforschung der Lebensbedingungen der wissenschaftlich-technischen Welt, Starnberg, Bayern",,n,n
"Habermas, Jürgen",Uni Graz Lexikon 50 Klassiker der Soziologie (http://agso.uni-graz.at/lexikon/klassiker/goffman/20li.htm),Direktor,,1980-1982,"Max-Planck-Institut für Sozialwissenschaften, München, Bayern",,n,n
"Habermas, Jürgen",Uni Graz Lexikon 50 Klassiker der Soziologie (http://agso.uni-graz.at/lexikon/klassiker/goffman/20li.htm),Honorarprofessor,Philosophie,1975-1982,Goethe-Universität Frankfurt,,Goethe-Universität Frankfurt (Frankfurt am Main),3313
"Habermas, Jürgen",Uni Graz Lexikon 50 Klassiker der Soziologie (http://agso.uni-graz.at/lexikon/klassiker/goffman/20li.htm),Ordentlicher Professor ,Philosophie,1983-1994 (em.),Goethe-Universität Frankfurt,Lehrstuhl für Philosophie,FB 08 Philosophie und Geschichtswissenschaften (Frankfurt am Main),21263
"Meuser	, Michael",Lebenslauf: http://www.geschlechterdynamik.tu-dortmund.de/w_meuser.htm,Studium,"Erziehungswissenschaft, Soziologie, Politische Wissenschaft",1971 - 1978,Universität Bonn,,Rheinische Friedrich-Wilhelms-Universität Bonn (Bonn),3302
"Meuser	, Michael",Lebenslauf: http://www.geschlechterdynamik.tu-dortmund.de/w_meuser.htm,Wissenschaftliche Hilfskraft,Erziehungswissenschaft,1978 - 1980,Universität Bonn,Institut für Erziehungswissenschaft,Pädagogische Fakultät (Bonn),727388
"Meuser	, Michael",Lebenslauf: http://www.geschlechterdynamik.tu-dortmund.de/w_meuser.htm,Wissenschaftlicher Mitarbeiter,,1980–1984,Erziehungswissenschaftliche Hochschule Koblenz,,Hochschule Koblenz (Koblenz),20827
"Meuser	, Michael",Lebenslauf: http://www.geschlechterdynamik.tu-dortmund.de/w_meuser.htm,Promotion,Dr. Phil.,1982,Universität Bonn,Institut für Erziehungswissenschaft,Pädagogische Fakultät (Bonn),727388
"Meuser	, Michael",Lebenslauf: http://www.geschlechterdynamik.tu-dortmund.de/w_meuser.htm,Wissenschaftlicher Mitarbeiter,"Forschungsschwerpunkt ""Soziale Probleme""",1984–1989,Universität Bremen,,Universität Bremen (Bremen),3303
"Meuser	, Michael",Lebenslauf: http://www.geschlechterdynamik.tu-dortmund.de/w_meuser.htm,Wissenschaftlicher Assistent,,1990–1996,Universität Bremen,EMPAS,EMPAS Institut für Empirische und Angewandte Soziologie (Bremen),10734
"Meuser	, Michael",Lebenslauf: http://www.geschlechterdynamik.tu-dortmund.de/w_meuser.htm,Habilitation,Soziologie,1997,Universität Bremen,Fachbereich Sozialwissenschaft,FB 08 Sozialwissenschaften (Bremen),14817
"Meuser	, Michael",Lebenslauf: http://www.geschlechterdynamik.tu-dortmund.de/w_meuser.htm,Vertretung Professur,Soziologie und empirische Sozialforschung,2000-2003,Universität Gesamthochschule Siegen,Soziologie und empirische Sozialforschung,"Fach Soziologie Lehrstuhl für Soziologie, insb. empirische Sozialforschung (Siegen)",26864
"Meuser	, Michael",Lebenslauf: http://www.geschlechterdynamik.tu-dortmund.de/w_meuser.htm,Wissenschaftlicher Mitarbeiter,Geschlechterforschung,2003-2005,Universität Duisburg-Essen,Essener Kolleg für Geschlechterforschung,Essener Kolleg für Geschlechterforschung (Essen),21354
"Meuser	, Michael",Lebenslauf: http://www.geschlechterdynamik.tu-dortmund.de/w_meuser.htm,Vertretung Professur,Soziologie und empirische Sozialforschung,2005,Universität Gesamthochschule Siegen,Soziologie und empirische Sozialforschung,"Fach Soziologie Lehrstuhl für Soziologie, insb. empirische Sozialforschung (Siegen)",26864
"Meuser	, Michael",Lebenslauf: http://www.geschlechterdynamik.tu-dortmund.de/w_meuser.htm,Wissenschaftlicher Mitarbeiter,,2005-2006,Universität Duisburg-Essen,Institut für Soziologie,Institut für Soziologie (Duisburg),8579
"Meuser	, Michael",Lebenslauf: http://www.geschlechterdynamik.tu-dortmund.de/w_meuser.htm,Lehrbeauftragter,,2006–2007,Universität Basel,,Universität Basel (Basel),3296
"Meuser	, Michael",Lebenslauf: http://www.geschlechterdynamik.tu-dortmund.de/w_meuser.htm,Lehrbeauftragter,,2006–2007,Universität St. Gallen,,Universität St. Gallen (St. Gallen),18203
"Meuser	, Michael",Lebenslauf: http://www.geschlechterdynamik.tu-dortmund.de/w_meuser.htm,Lehrbeauftragter,,2006–2007,Universität Luzern,,Universität Luzern (Luzern),19647
"Meuser	, Michael",Lebenslauf: http://www.geschlechterdynamik.tu-dortmund.de/w_meuser.htm,Professur,Lehrstuhl für Soziologie der Geschlechterverhältnisse,2007 - ,Universität Dortmund,Lehrstuhl für Soziologie der Geschlechterforschung,Institut für Soziologie Lehrstuhl für Soziologie der Geschlechterverhältnisse (Dortmund),32172
"Oevermann, Ulrich",wikipedia,Studium,"Soziologie, Philosophie und Geschichte",1960-1964,Universität Freiburg im Breisgau,,Albert-Ludwigs-Universität Freiburg (Freiburg im Breisgau),3314
"Oevermann, Ulrich",wikipedia,Studium,"Soziologie, Philosophie und Geschichte",1960-1964,Ludwig-Maximilians-Universität München,,Ludwig-Maximilians-Universität München (München),3339
"Oevermann, Ulrich",wikipedia,Studium,"Soziologie, Philosophie und Geschichte",1960-1964,Universität Heidelberg,,Universität Heidelberg (Heidelberg),3324
"Oevermann, Ulrich",wikipedia,Studium,"Soziologie, Philosophie und Geschichte",1960-1964,Universität Mannheim,,Universität Mannheim (Mannheim),3337
"Oevermann, Ulrich",wikipedia,Studium,"Soziologie, Philosophie und Geschichte",1964-1966,Goethe-Universität Frankfurt,,Goethe-Universität Frankfurt (Frankfurt am Main),3313
"Oevermann, Ulrich",wikipedia,Assistent,Lehrstuhl für Philosophie und Soziologie bei Jürgen Habermas,1964-1966,Goethe-Universität Frankfurt,,Goethe-Universität Frankfurt (Frankfurt am Main),3313
"Oevermann, Ulrich",Universität Bielefeld,Projekt für Bildungsforschung,Elternhaus und Schule,1968-?,Max-Planck-Institut für Bildungsforschung,,Max-Planck-Institut für Bildungsforschung (Berlin),2458
"Oevermann, Ulrich",Universität Bielefeld,Honorarprofessor,,1968-?,Goethe-Universität Frankfurt,,Goethe-Universität Frankfurt (Frankfurt am Main),3313
"Oevermann, Ulrich",Universität Bielefeld,Professor  ,Grundlagen der Gesellschaftswissenschaften,1977-2008 (em.),Goethe-Universität Frankfurt,Institut für Grundlagen der Gesellschaftswissenschaften ,"Institut für Grundlagen der Gesellschaftswissenschaften Professur für Soziologie und Sozialpsychologie, insb. Bildungssoziologie (Frankfurt am Main)",26813
"Oevermann, Ulrich",wikipedia,Niklas-Luhmann-Gastprofessur ,Soziologie,2009-2010,Universität Bielefeld,,Universität Bielefeld (Bielefeld),3300
"Beck, Ulrich",LMU,Studium ,Rechtswissenschaften,1966-1967,Universität Freiburg im Breisgau,,Albert-Ludwigs-Universität Freiburg (Freiburg im Breisgau),3314
"Beck, Ulrich",LMU,Studium,"Soziologie, Philosophie, Psychologie und Politikwissenschaft",1967 - 1972,Ludwig-Maximilians-Universität München,,Ludwig-Maximilians-Universität München (München),3339
"Beck, Ulrich",LMU,Promotion,Soziologie,1972,Ludwig-Maximilians-Universität München,,Ludwig-Maximilians-Universität München (München),3339
"Beck, Ulrich",LMU,Wissenschaftlicher Mitarbeiter,"Sonderforschungsbereich 101 der Universität München ""Theoretische Grundlagen sozialwissenschaftlicher Berufs- und Arbeitskräfteforschung""",1972-1979,Ludwig-Maximilians-Universität München,,Ludwig-Maximilians-Universität München (München),3339
"Beck, Ulrich",LMU,Venia Legendi,Soziologie,1979,Ludwig-Maximilians-Universität München,,Ludwig-Maximilians-Universität München (München),3339
"Beck, Ulrich",LMU,Professor,Soziologie,1979-1981,Universität Münster,,Westfälische Wilhelms-Universität Münster (Münster),3340
"Beck, Ulrich",LMU,Professor,Soziologie,1981-1992,Universität Bamberg,,Otto-Friedrich-Universität Bamberg (Bamberg),3295
"Beck, Ulrich",LMU,"Koordination eines DFG-finanzierten Forschungsschwerpunkts zum Thema ""Verwendung sozialwissenschaftlicher Ergebnisse""",,1981-1988,Universität Bamberg,,Otto-Friedrich-Universität Bamberg (Bamberg),3295
"Beck, Ulrich",LMU,Fellow,,1989-1990,Kulturwissenschaftliches Institut Essen,,Kulturwissenschaftliches Institut Essen (Essen),10725
"Beck, Ulrich",LMU,Fellow,,1990-1991,Wissenschaftskolleg zu Berlin,,n,n
"Beck, Ulrich",LMU,Professor,Soziologie,1992 - 2009 (em.),Ludwig-Maximilians-Universität München,,Ludwig-Maximilians-Universität München (München),3339
"Beck, Ulrich",LMU,Distinguished Research Professor ,,1995-1998,University of Wales College of Cardiff,,n,n
"Beck, Ulrich",LMU,Visiting Centennial Professor,,1997,London School of Economics and Political Science,,London School of Economics and Political Science (London),10031
"Beck, Ulrich",LMU,Sprecher des DFG- Sonderforschungsbereich,Sonderforschungsbereich: Reflexive Modernisierung,1999-2009,Ludwig-Maximilians-Universität München,,Ludwig-Maximilians-Universität München (München),3339
"Beck, Ulrich",LMU,Professor,,2011-?,"Fondation Maison des Sciences de l’Homme, Paris",,n,n
"Hirschauer, Stefan",Uni Mainz,Studium,Soziologie,1979-1985,Universität Bielefeld,,Universität Bielefeld (Bielefeld),3300
"Hirschauer, Stefan",Wikipedia,Promotion,Dr. rer. soc; Titel: DIe soziale Konstruktion der Transsexualität,1991,Universität Bielefeld,,Universität Bielefeld (Bielefeld),3300
"Hirschauer, Stefan",Uni Mainz,Redakteur und Herausgeber,Zeitschrift für Soziologie,1990-1999,n,,n,n
"Hirschauer, Stefan",Wikipedia,Hochschulassistent,Fakultät für Soziologie,1992-1998,Universität Bielefeld,,Universität Bielefeld (Bielefeld),3300
"Hirschauer, Stefan",Wikipedia,Habilitation,Venia Legendi: Soziologie,1998,Universität Bielefeld,,Universität Bielefeld (Bielefeld),3300
"Hirschauer, Stefan",Uni Mainz,Gastprofessur,,1999,Centre de Sociologie de l'innovation,,n,n
"Hirschauer, Stefan",Uni Mainz,Gastprofessur,Soziologie,2000,Universität Wien,Institut für Soziologie,Institut für Soziologie (Wien),727140
"Hirschauer, Stefan",Uni Mainz,Visiting Scholar,Science Studies,2001,Cornell University,,Cornell University Ithaca (Ithaca),9834
"Hirschauer, Stefan",Uni Mainz,Professur,Soziologie und Gender Studies,2002-2006,Ludwig-Maximilians-Universität München,,Ludwig-Maximilians-Universität München (München),3339
"Hirschauer, Stefan",Uni Mainz,Professur,Soziologische Theorie und Gender Studies,2006-,Universität Mainz,,Johannes Gutenberg-Universität Mainz (Mainz),3336
"Hirschauer, Stefan",Uni Mainz,Sprecher DFG-Forschergruppe,"DFG-Forschergruppe 1939: ""Un/doing Differences. Praktiken der Humandifferenzierung"" ",2013,Deutsche Forschungsgemeinschaft ,,Deutsche Forschungsgemeinschaft (Bonn),9494
"Hirschauer, Stefan",Uni Mainz,Paul Lazarsfeld Gastprofessur,,2015,Universität Wien,,Universität Wien (Wien),3351
"Schütze, Fritz",Forschungsportal Sachsen Anhalt,Studium,"Soziologie, Philosophie und Allgemeinen Sprachwissenschaft",1964-1972,Universität Münster,,Westfälische Wilhelms-Universität Münster (Münster),3340
"Schütze, Fritz",Forschungsportal Sachsen Anhalt,Wissenschaftlicher Angestellter,,1970-1972,Universität Bielefeld,,Universität Bielefeld (Bielefeld),3300
"Schütze, Fritz",Forschungsportal Sachsen Anhalt,Promotion,"Dr. Phil.; Titel: ""Handeln in Sprache - Sprache im Handeln. Strategien des sprachbezogenen Denkens innerhalb und im Umkreis der Soziologie""",1972,Universität Münster,,Westfälische Wilhelms-Universität Münster (Münster),3340
"Schütze, Fritz",Forschungsportal Sachsen Anhalt,Wissenschaftlicher Assistent,,1972-1980,Universität Bielefeld,,Universität Bielefeld (Bielefeld),3300
"Schütze, Fritz",Forschungsportal Sachsen Anhalt,Forschungsaufenthalt,"Department of Social and Behavioral Sciences der Univresity of California, San Francisco bei Anselm Strauss mit einem Habilitationsstipendium der DFG",1978-1979,"University of California, San Francisco",Department of Social and Behavioral Sciences,n,n
"Schütze, Fritz",Forschungsportal Sachsen Anhalt,Habilitation,"Gesamtthematik: ""Kommunikative Sozialisationsforschung"" ",1980,Universität Bielefeld,,Universität Bielefeld (Bielefeld),3300
"Schütze, Fritz",Forschungsportal Sachsen Anhalt,Universitätsprofessor,Qualitative Verfahren der empirischen Sozialforschung am Fachbereich Sozialwesen,1980-1993,Gesamthochschule Kassel,,n,n
"Schütze, Fritz",Forschungsportal Sachsen Anhalt,Forschungsaufenthalt,,1984-1985,Princeton University,Institute for Advanced Study,Princeton University (Princeton),n
"Schütze, Fritz",Forschungsportal Sachsen Anhalt,Zusätzlich Zweitmitgliedschaft,Fachbereich Gesellschaftswissenschaft,1987-1993,Gesamthochschule Kassel,,n,n
"Schütze, Fritz",Forschungsportal Sachsen Anhalt,Universitätsprofessor,,1993-2009,Otto-von-Guericke-Universität Magdeburg,,Otto-von-Guericke-Universität Magdeburg (Magdeburg),15397
"Theunissen, Georg",Universität Halle-Wittenberg,Studium,"Erziehungswissenschaften Schwerpunkt Heil und Sonderpädagogik, Heilpädagogische Kunsterziehung",?,Universität zu Köln,,Universität zu Köln (Köln),3327
"Theunissen, Georg",Universität Halle-Wittenberg,Promotion,Titel: Curriculare und extracurriculare Arbeitsformen in der ästethischen Erziehung bei verhaltensauffälligen Kindern und Jugendlichen,1979,Universität zu Köln,,Universität zu Köln (Köln),3327
"Theunissen, Georg",Universität Halle-Wittenberg,Pädagogische Leitung,,1980-1988,Heilpädagogisches Heim Langenfeld,,,
"Theunissen, Georg",Universität Halle-Wittenberg,Professor,Heilpädagogik,1989-1994,Katholische Fachhochschule Freiburg,,"Katholische Fachhochschule Freiburg Hochschule für Sozialwesen, Religionspädagogik und Pflege (Freiburg im Breisgau)",2038
"Theunissen, Georg",Universität Halle-Wittenberg,Professor,Lehrstuhl Geistigbehindertenpädagogik und Pädagogik bei Autismus,1994-,Universität Halle-Wittenberg,,Martin-Luther-Universität Halle-Wittenberg (Halle),13007
"Theunissen, Georg",Universität Halle-Wittenberg,Forschungsaufenthalt,,2012,"University of California, Los Angeles",,University of California Los Angeles (Los Angeles),3285
"Münkler, Herfried",HU Berlin,Studium,"Germanistik, Politikwissenschaft und Philosophie",1972-1977,Goethe-Universität Frankfurt,,Goethe-Universität Frankfurt (Frankfurt am Main),3313
"Münkler, Herfried",HU Berlin,Staatsexamen für das Lehramt an Höheren Schulen ,Fächer Deutsch und Sozialkunde,1977/11,Goethe-Universität Frankfurt,,Goethe-Universität Frankfurt (Frankfurt am Main),3313
"Münkler, Herfried",HU Berlin,Promotion,Dr. Phil.; Thema: Niccolò Machiavelli,1981/02,Goethe-Universität Frankfurt,,Goethe-Universität Frankfurt (Frankfurt am Main),3313
"Münkler, Herfried",HU Berlin,Wissenschaftlicher Mitarbeiter,Fachbereich Gesellschaftswissenschaften,1982/06-1987/06,Goethe-Universität Frankfurt,Fachbereich Gesellschaftswissenschaften,FB 03 Gesellschaftswissenschaften,8797
"Münkler, Herfried",HU Berlin,Annahme der Habilitationsschrift und Venia Legendi,Habilitationsschrift über Staatsraison; Venia Legendi: Politologie,1987/02,Goethe-Universität Frankfurt,Fachbereich Gesellschaftswissenschaften,FB 03 Gesellschaftswissenschaften,8797
"Münkler, Herfried",HU Berlin,Vertretung einer Professur,Politikwissenschaft,1987/10-1992,Goethe-Universität Frankfurt,Fachbereich Gesellschaftswissenschaften,FB 03 Gesellschaftswissenschaften,8797
"Münkler, Herfried",HU Berlin,"Verantwortlicher des Bereichs ""Politische Theorie"" in der Politischen Vierteljahresschrift",Politische Theorie,1988/09-1999/12,,,,
"Münkler, Herfried",HU Berlin,Sprecher,Politische Theorie und Ideengeschichte,1991-1997,Deutsche Vereinigung für Politische Wissenschaft -DVPW- (Osnabrück),Sektion Politische Theorie und Ideengeschichte,Sektion Politische Theorie und Ideengeschichte (Augsburg),726110
"Münkler, Herfried",HU Berlin,Professur,Lehrstuhl Theorie der Politik am Institut für Sozialwissenschaften,1992 - ,Humboldt-Universität zu Berlin,Lehrstuhl Theorie der Politik,Institut für Sozialwissenschaften Lehrbereich Theorie der Politik (Berlin),13276
"Münkler, Herfried",HU Berlin,Vorsitzender der Leitungskommsion zur Marx-Engels-Gesamtausgabe (MEGA),,1992/12-2006/12,Berlin-Brandenburgische Akademie der Wissenschaften (BBAW),,Berlin-Brandenburgische Akademie der Wissenschaften (Berlin),16511
"Münkler, Herfried",HU Berlin,Gastdozentur,,1993,Institut für Höhere Studien Wien,,Institut für Höhere Studien (Wien),1721
"Münkler, Herfried",HU Berlin,Sekretar der Sozialwissenschaftlichen Klasse,,2003/03 - 2006/12,Berlin-Brandenburgische Akademie der Wissenschaften (BBAW),,Berlin-Brandenburgische Akademie der Wissenschaften (Berlin),16511
"Münkler, Herfried",HU Berlin,Akademieprofessur,,2001,Berlin-Brandenburgische Akademie der Wissenschaften (BBAW),,Berlin-Brandenburgische Akademie der Wissenschaften (Berlin),16511
"Münkler, Herfried",HU Berlin,Gastprofessur,,2004-2005,Wissenschaftszentrum für Sozialwissenschafte Berlin ,,Wissenschaftszentrum Berlin für Sozialforschung gGmbH (Berlin),8779
"Münkler, Herfried",HU Berlin,Carl Friedrich von Siemens Fellow,,2016-2017,Carl Friedrich von Siemens Stiftung ,,Carl Friedrich von Siemens Stiftung (München),11034
"Rehberg, Karl-Siegbert",TU Dresden,Studium,Soziologie und Politologie,1968-1973,Universität zu Köln ,,Universität zu Köln (Köln),3327
"Rehberg, Karl-Siegbert",TU Dresden,Studium,Soziologie und Politologie,1968-1973,RWTH Aachen,,Rheinisch-Westfälische Technische Hochschule Aachen (Aachen),3189
"Rehberg, Karl-Siegbert",TU Dresden,Promotion,Betreuung durch Arnold Gehlen,1973,RWTH Aachen,,Rheinisch-Westfälische Technische Hochschule Aachen (Aachen),3189
"Rehberg, Karl-Siegbert",TU Dresden,Wissenschaftlicher Assistent,,1973-1974,RWTH Aachen,,Rheinisch-Westfälische Technische Hochschule Aachen (Aachen),3189
"Rehberg, Karl-Siegbert",TU Dresden,Akademischer Oberrat,,1974,RWTH Aachen,,Rheinisch-Westfälische Technische Hochschule Aachen (Aachen),3189
"Rehberg, Karl-Siegbert",TU Dresden,Ernennung zum Hochschullehrer,,1985,RWTH Aachen,,Rheinisch-Westfälische Technische Hochschule Aachen (Aachen),3189
"Rehberg, Karl-Siegbert",TU Dresden,Vorsitzender des Satzungs-Konventes der RWTH,,1982-1986,RWTH Aachen,,Rheinisch-Westfälische Technische Hochschule Aachen (Aachen),3189
"Rehberg, Karl-Siegbert",TU Dresden,Lehrbeauftragter,,1989/90,Georg-August-Universität Göttingen,,Georg-August-Universität Göttingen (Göttingen),9292
"Rehberg, Karl-Siegbert",TU Dresden,Gastprofessur,,1991/1992,Rijksuniversiteitte Leiden,,Leiden University (Leiden),2742
"Rehberg, Karl-Siegbert",TU Dresden,Sprecher der Sektion Kultursoziologie,,1991-1996,Deutsche Gesellschaft für Soziologie -DGS- Essen,,Sektion Kultursoziologie (Graz),70484
"Rehberg, Karl-Siegbert",TU Dresden,Privatdozent,,1992,RWTH Aachen,,Rheinisch-Westfälische Technische Hochschule Aachen (Aachen),3189
"Rehberg, Karl-Siegbert",TU Dresden,Gründungsprofessor,"Lehrstuhl für Soziologische Theorie, Theoriegeschichte und Kultursoziologie ",1992-2009,TU Dresden,,Technische Universität Dresden (Dresden),12262
"Rehberg, Karl-Siegbert",TU Dresden,Dekan,Philosophische Fakultät,1994-1997,TU Dresden,,Technische Universität Dresden (Dresden),12262
"Rehberg, Karl-Siegbert",TU Dresden,Mitglied des Vorstandes,,1997-2007,Deutsche Gesellschaft für Soziologie -DGS- ,,Deutsche Gesellschaft für Soziologie -DGS- (Essen),9611
"Rehberg, Karl-Siegbert",TU Dresden,Gastprofessur,,1998,"Università di Roma ""La Sapienza""",,"University of Rome ""La Sapienza"" (Rom)",3248
"Rehberg, Karl-Siegbert",TU Dresden,Gastprofessur,,1999,École Pratique des Hautes Études ,,École Pratique des Hautes Études (Paris),14846
"Rehberg, Karl-Siegbert",TU Dresden,"Gastprofessuren im Sonderprogramm ""Professori di fama internazionale"" ",,1999-2009,Università degli Studi di Trento,,Università degli Studi di Trento (Trento),15457
"Rehberg, Karl-Siegbert",TU Dresden,Gastprofessur,,2003,École Pratique des Hautes Études ,,École Pratique des Hautes Études (Paris),14846
"Rehberg, Karl-Siegbert",TU Dresden,Gastprofessur,,2003,"Università degli Studi di Napoli ""Federico II""",,n,n
"Rehberg, Karl-Siegbert",TU Dresden,Vorsitzender des Vorstandes,,2003-2007,Deutsche Gesellschaft für Soziologie -DGS-,,Deutsche Gesellschaft für Soziologie -DGS- (Essen),9611
"Rehberg, Karl-Siegbert",TU Dresden,Gastprofessur,,2004,Université de Lausanne,,Université de Lausanne (Lausanne),3257
"Rehberg, Karl-Siegbert",TU Dresden,Gastprofessur,,2005,Universität Basel,,Universität Basel (Basel),3296
"Rehberg, Karl-Siegbert",TU Dresden,Gastprofessur,,2007,Universität Basel,,Universität Basel (Basel),3296
"Rehberg, Karl-Siegbert",TU Dresden,Wissenschaftlicher Leiter,,2008,Dresden School of Culture in der Dresden International University ,,Dresden International University GmbH (Dresden),29877
"Rehberg, Karl-Siegbert",TU Dresden,Ernennung zum Seniorprofessor,,2009/10-,TU Dresden,,Technische Universität Dresden (Dresden),12262
"Rehberg, Karl-Siegbert",Wikipedia,Inhaber Forschungsprofessur,"Soziologische Theorie, Theoriengeschichte und Kultursoziologie",2015/04 - ,TU Dresden,,Technische Universität Dresden (Dresden),12262
"Rehberg, Karl-Siegbert",Wikipedia,Fellow,,SoSe 2015,Universität Weimar,,Bauhaus-Universität Weimar (Weimar),20778
"Horkheimer, Max",Lemo - Lebendiges Museum Online,Studium ,Psychologie und Philosophie,1919-1922,Ludwig-Maximilians-Universität München,,Ludwig-Maximilians-Universität München (München),3339
"Horkheimer, Max",Lemo - Lebendiges Museum Online,Studium ,Psychologie und Philosophie,1919-1922,Universität Freiburg im Breisgau,,Albert-Ludwigs-Universität Freiburg (Freiburg im Breisgau),3314
